DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
100348,1,71,3,3,0,1,1,0,14,28393.41,1317.01
100349,1,50,1,4,0,2,2,0,14,29982.13,1057.78
100350,1,57,1,3,0,1,2,0,16,122063.35,3774.21
100351,1,28,1,5,0,1,1,0,14,22923.36,860.6
100352,1,61,4,2,0,2,1,0,1,20409.03,663.64
100353,2,57,1,5,1,1,2,0,16,107043.15,2035.15
100354,2,48,1,5,0,1,4,2,16,144592.34,2662.94
100355,1,90,3,4,0,1,1,0,10,42220.47,1371.85
100356,2,57,1,5,0,1,3,0,14,139339.11,3078.66
100357,1,51,1,5,0,2,5,3,15,56339.3,1887.29
100358,1,62,3,2,0,2,2,0,8,52565.64,1590.97
100359,1,72,4,1,0,2,1,0,4,21092.22,648.45
100360,2,73,3,3,0,1,1,0,9,47582.24,1507.99
100361,2,62,2,2,0,2,2,0,6,68908.31,2292.74
100362,1,73,3,1,0,2,1,0,3,20950.6,1037.71
100363,2,58,4,3,0,2,2,0,4,43082.88,1002.56
100364,1,79,3,3,0,1,1,0,7,16093.96,670.32
100365,1,65,2,3,0,1,2,0,14,191747.75,2605.1
100366,2,31,1,5,0,1,4,2,12,134217.25,2233.45
100367,2,73,3,3,0,1,2,0,11,134339.8,2115.05
100368,1,55,1,4,0,1,1,0,14,118238.31,1300.88
100369,1,72,3,2,0,3,4,2,8,58260.8,2935.41
100370,1,80,3,3,0,2,1,0,6,24468.69,1207.7
100371,1,50,4,4,0,1,4,2,16,66938.08,1953.48
100372,1,58,1,4,0,1,1,0,9,16777.11,516.16
100373,1,54,1,2,0,1,5,1,16,216265.47,3205.21
100374,1,62,1,3,0,6,3,0,15,72714.69,2382.22
100375,1,53,2,3,0,1,3,0,14,35123.48,1126.78
100376,1,29,1,4,0,1,1,0,14,71819.02,2457.78
100377,1,23,2,4,0,1,3,0,11,26933.19,1135.22
100378,2,37,1,3,1,1,4,2,13,67834.94,1054.83
100379,2,67,3,4,0,1,2,0,14,75998.73,1777.91
100380,2,65,1,1,1,1,3,0,15,114439.98,3703.95
100381,1,51,1,2,0,1,2,0,16,115475.75,2143.94
100382,2,32,1,4,1,1,2,0,16,71942.69,3083.0
100383,1,55,2,3,0,4,3,1,6,67523.77,1360.55
100384,1,71,4,1,0,2,1,0,5,20931.24,823.87
100385,1,44,2,3,0,1,6,4,13,122269.18,1115.56
100386,2,84,3,5,0,1,2,0,15,65402.13,2070.28
100387,1,56,1,2,1,1,4,0,15,114885.99,2255.97
100388,2,71,3,3,0,1,1,0,14,55283.6,1073.63
100389,1,45,1,1,1,1,5,2,2,62514.39,1103.39
100390,2,64,3,2,0,1,2,0,11,81016.35,1585.63
100391,1,70,3,4,0,1,2,0,9,89783.05,2238.13
100392,2,69,1,3,0,1,1,0,14,35760.25,1195.54
