DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
108961,WEST,Mountain North,CO,Cold,68568.25,1302.24
108962,MIDWEST,West North Central,MO,Mixed-Humid,109690.36,2019.42
108963,MIDWEST,East North Central,WI,Cold,26024.79,822.7
108964,NORTHEAST,New England,MA,Cold,84096.63,195.29
108965,SOUTH,South Atlantic,VA,Mixed-Humid,38625.92,1405.36
108966,WEST,Pacific,CA,Marine,83715.14,2485.34
108967,WEST,Mountain South,AZ,Hot-Dry,42025.75,1559.78
108968,NORTHEAST,New England,VT,Cold,164091.9,3745.8
108969,NORTHEAST,New England,NH,Cold,36198.75,440.63
108970,NORTHEAST,Middle Atlantic,NY,Cold,91162.79,2166.85
108971,SOUTH,East South Central,AL,Hot-Humid,48029.82,1790.26
108972,NORTHEAST,Middle Atlantic,NY,Cold,80170.99,2764.82
108973,MIDWEST,East North Central,IL,Cold,39606.17,558.11
108974,WEST,Mountain South,NV,Hot-Dry,43234.85,1458.88
108975,WEST,Mountain South,AZ,Hot-Dry,43981.94,1648.97
108976,SOUTH,East South Central,KY,Mixed-Humid,87879.97,1547.53
108977,NORTHEAST,New England,NH,Cold,63913.17,2630.35
108978,NORTHEAST,New England,ME,Cold,77061.73,1836.92
108979,MIDWEST,West North Central,SD,Cold,81642.15,813.09
108980,NORTHEAST,New England,RI,Cold,85825.31,2711.48
108981,MIDWEST,East North Central,MI,Cold,115028.43,2841.76
108982,SOUTH,South Atlantic,FL,Hot-Humid,120045.27,3730.22
108983,WEST,Pacific,CA,Hot-Dry,81100.89,2086.9
108984,NORTHEAST,Middle Atlantic,PA,Cold,66281.48,2134.67
108985,MIDWEST,East North Central,OH,Cold,23440.66,754.55
108986,SOUTH,South Atlantic,FL,Hot-Humid,17111.74,603.55
108987,WEST,Pacific,WA,Marine,34903.9,902.07
108988,WEST,Pacific,CA,Hot-Dry,76406.44,1156.78
108989,WEST,Pacific,WA,Marine,73779.28,2239.1
108990,NORTHEAST,New England,VT,Cold,46139.12,1573.71
108991,SOUTH,West South Central,TX,Hot-Humid,189600.48,3619.29
108992,SOUTH,South Atlantic,DC,Mixed-Humid,30353.14,1024.81
108993,SOUTH,West South Central,LA,Hot-Humid,43015.33,1241.88
108994,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,112114.43,3510.2
108995,MIDWEST,West North Central,SD,Cold,113525.91,2095.09
108996,MIDWEST,East North Central,IL,Cold,108939.43,2410.14
