DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
109262,MIDWEST,West North Central,MO,Mixed-Humid,49859.18,2019.79
109263,SOUTH,West South Central,LA,Hot-Humid,42140.44,1304.94
109264,SOUTH,West South Central,LA,Hot-Humid,44515.43,2553.51
109265,MIDWEST,East North Central,OH,Cold,36270.56,1047.95
109266,WEST,Mountain North,WY,Cold,166463.64,2174.57
109267,SOUTH,South Atlantic,GA,Mixed-Humid,88373.99,1677.75
109268,SOUTH,East South Central,KY,Mixed-Humid,32608.2,1234.09
109269,WEST,Pacific,WA,Marine,110811.75,2107.95
109270,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,134509.37,3785.14
109271,MIDWEST,West North Central,IA,Cold,148357.3,2112.84
109272,MIDWEST,West North Central,SD,Cold,107079.34,2845.78
109273,WEST,Pacific,AK,Very-Cold,80573.19,1517.93
109274,SOUTH,West South Central,TX,Hot-Humid,61177.37,1518.0
109275,MIDWEST,East North Central,MI,Cold,71528.5,1153.47
109276,WEST,Pacific,HI,Hot-Humid,45243.75,3843.81
109277,SOUTH,South Atlantic,NC,Mixed-Humid,13564.25,1046.47
109278,SOUTH,South Atlantic,GA,Mixed-Humid,32772.13,1249.99
109279,SOUTH,West South Central,TX,Hot-Humid,22075.73,640.3
109280,MIDWEST,East North Central,MI,Cold,40555.52,1540.6
109281,SOUTH,West South Central,TX,Hot-Humid,55626.4,1243.91
109282,SOUTH,South Atlantic,FL,Hot-Humid,27353.98,840.37
109283,WEST,Pacific,HI,Hot-Humid,32403.49,2697.94
