Value,Description
1,Central air conditioner (includes central heat pump)
3,"Ductless heat pump, also known as a ""mini-split"""
4,Window or wall air conditioner
5,Portable air conditioner
6,Evaporative or swamp cooler
-2,Built-in room heater burning gas or oil
